# framerate: 25
# 0: id
# 1: frame
# 2: x
# 3: y
# 4: plevel (4:strong pushing 3:Mild pushing 2:Just walking 1:Falling behind)
# 5: density (-1: not in the measurement area)
# 6: speed
# 7: x_direction (0: speed is 0)
# 8: y_direction (0: speed is 0)
# 9: space (100: no peds in the direction of movement)
# 10 infid (-1: no peds in the direction of movement)
#id	frame	x	y	plevel	density	speed	x_direction	y_direction	space	infid
1	0	1.7587	0.6075	3	1.1803	0.2477	-0.9033	-0.4290	100.0000	-1
2	0	1.9513	2.1862	2	1.6873	0.0007	-0.7071	-0.7071	0.4045	5
3	0	1.7750	2.7990	2	1.6148	0.0591	-0.5330	-0.8461	0.8508	5
4	0	1.4558	1.1117	2	1.9793	0.0804	-0.9800	-0.1991	0.2403	8
5	0	1.4128	1.6436	2	2.0090	0.0741	-0.9851	0.1721	0.2826	10
6	0	1.5920	3.8980	2	1.4629	0.0192	-0.1305	-0.9915	0.3514	7
7	0	1.4494	3.2010	2	1.3193	0.0081	0.5547	0.8321	0.3514	6
8	0	0.9014	0.8815	3	1.7150	0.0573	-0.5667	-0.8239	0.3157	14
9	0	0.9324	2.1679	2	1.4375	0.0275	-0.6000	-0.8000	0.2535	10
10	0	0.7739	1.5752	2	2.5999	0.0685	0.1204	-0.9927	0.3453	8
11	0	0.7920	4.6123	2	1.6785	0.0800	0.9095	-0.4157	0.2155	40
12	0	0.6436	5.3362	2	1.2791	0.0179	-0.7412	0.6713	100.0000	-1
13	0	0.3770	1.2875	2	2.1876	0.0865	0.9051	-0.4251	0.3032	8
14	0	0.3212	0.5351	3	1.7438	0.1989	-0.2702	-0.9628	-0.0050	19
15	0	0.3784	3.9658	2	1.5809	0.0963	-0.9395	-0.3426	1.7712	38
16	0	0.2617	4.5292	2	3.8528	0.0301	-0.2406	-0.9706	0.2154	15
17	0	0.1850	4.8558	2	1.2950	0.0121	0.9104	0.4138	0.3042	12
18	0	0.0985	2.1539	2	1.9412	0.0337	0.9938	-0.1112	0.4740	9
19	0	-0.0226	0.6234	3	3.0148	0.0736	0.2752	-0.9614	-0.0050	14
20	0	-0.3543	1.6682	2	2.2163	0.0615	0.1260	-0.9920	0.2561	23
21	0	-0.3721	0.2514	3	2.1276	0.3734	0.8114	-0.5845	100.0000	-1
22	0	-0.5099	2.9606	3	1.3166	0.0546	-0.5673	-0.8235	0.4813	25
23	0	-0.5810	1.0953	2	2.1790	0.1644	0.3149	-0.9491	0.5094	21
24	0	-0.7579	4.0253	3	1.5394	0.0136	-0.8981	0.4399	0.6823	41
25	0	-0.8379	2.1859	3	2.2684	0.0332	-0.3766	-0.9264	0.5505	27
26	0	-1.0995	0.6805	1	1.6357	0.0121	0.9946	0.1036	0.3040	23
27	0	-1.2078	1.3539	3	2.2636	0.2122	0.8319	-0.5550	0.3181	23
28	0	-1.6227	2.7921	2	2.8440	0.0257	0.7496	-0.6619	-0.0482	34
29	0	-1.6528	1.9423	2	2.0729	0.0765	-0.5524	-0.8336	100.0000	-1
30	0	-1.8781	3.9366	2	2.0246	0.0311	0.0963	0.9954	0.2204	41
31	0	-1.8127	2.2948	2	2.6228	0.0486	-0.5606	0.8281	0.6128	37
32	0	-1.6995	1.2056	3	1.8582	0.0717	0.2613	-0.9652	0.2530	33
33	0	-1.7788	0.5978	2	1.5100	0.0926	-0.9989	0.0459	100.0000	-1
34	0	-1.4413	2.5385	2	2.9853	0.0262	-0.6679	-0.7442	0.0842	31
35	0	0.1704	2.9538	1	1.1889	0.0479	0.4803	0.8771	0.6732	15
36	0	-0.2104	4.1552	3	1.9021	0.0198	0.6944	0.7196	0.2423	16
37	0	-2.1572	3.2046	2	3.6022	0.0325	0.2462	-0.9692	0.6128	31
38	0	-1.6737	3.3906	2	1.9058	0.0813	0.9965	0.0830	2.9449	6
39	0	-0.9915	4.5647	2	0.9117	0.0413	-0.3451	0.9385	100.0000	-1
40	0	1.1294	4.1461	2	1.6737	0.0293	0.2305	0.9731	100.0000	-1
41	0	-1.6926	4.4866	2	1.5500	0.0073	0.9976	0.0688	0.3454	39
42	0	-0.4554	2.2472	2	3.1269	0.2307	0.7532	-0.6578	0.2017	18
1	1	1.7550	0.6044	3	1.1766	0.2846	-0.9100	-0.4146	100.0000	-1
2	1	1.9513	2.1862	2	1.6894	0.0016	-0.7809	-0.6247	0.4060	5
3	1	1.7737	2.7940	2	1.6148	0.0558	-0.6143	-0.7891	0.6907	9
4	1	1.4549	1.1127	2	1.9711	0.0933	-0.9725	-0.2331	0.2398	8
5	1	1.4111	1.6431	2	2.0143	0.0799	-0.9791	0.2033	0.2800	10
6	1	1.5893	3.8944	2	1.4726	0.0115	0.3487	-0.9372	0.7557	3
7	1	1.4494	3.2010	2	1.3162	0.0093	0.5105	0.8599	0.3474	6
8	1	0.9014	0.8815	3	1.7231	0.0781	-0.5540	-0.8325	0.3193	14
9	1	0.9309	2.1666	2	1.4410	0.0268	-0.5308	-0.8475	0.2554	10
10	1	0.7751	1.5713	2	2.6120	0.0644	0.0621	-0.9981	0.3413	8
11	1	0.7970	4.6033	2	1.6531	0.0634	0.9930	-0.1182	100.0000	-1
12	1	0.6325	5.3386	2	1.2740	0.0166	0.9927	0.1203	100.0000	-1
