# framerate: 25
# 0: id
# 1: frame
# 2: x
# 3: y
# 4: plevel (4:strong pushing 3:Mild pushing 2:Just walking 1:Falling behind)
# 5: density (-1: not in the measurement area)
# 6: speed
# 7: x_direction (0: speed is 0)
# 8: y_direction (0: speed is 0)
# 9: space (100: no peds in the direction of movement)
# 10 infid (-1: no peds in the direction of movement)
#id	frame	x	y	plevel	density	speed	x_direction	y_direction	space	infid
1	0	0.4327	1.1277	2	6.1170	0.0051	-0.1961	-0.9806	0.0516	3
2	0	0.3870	1.4801	2	5.0535	0.0015	0.0000	1.0000	0.1629	10
3	0	0.3737	0.7204	1	4.1218	0.0708	-0.7415	0.6709	0.0516	1
4	0	0.5022	4.1745	2	6.7003	0.0105	0.0000	1.0000	0.1945	6
5	0	0.4312	3.2901	2	4.5829	0.0422	0.3198	0.9475	0.2159	9
6	0	0.4901	4.7289	2	5.9636	0.0000	0.0000	0.0000	100.0000	-1
7	0	0.3435	2.6121	2	4.3337	0.0255	-0.2747	-0.9615	0.2652	10
8	0	0.2308	0.1381	3	4.0906	0.0099	0.8619	-0.5070	100.0000	-1
9	0	0.3501	3.8603	2	5.1537	0.0475	0.3477	-0.9376	-0.0022	14
10	0	0.2743	1.9907	2	3.3537	0.0782	0.2815	0.9596	0.2652	7
11	0	0.2984	2.8984	2	4.4597	0.0200	1.0000	0.0000	-0.0702	7
12	0	0.2799	5.1050	3	5.6558	0.0309	0.4537	0.8912	0.0060	29
13	0	0.0463	-0.0898	3	-1.0000	0.0404	-0.7549	-0.6559	100.0000	-1
14	0	0.0508	3.6643	2	3.8358	0.0185	0.0000	1.0000	-0.0022	9
15	0	0.0389	4.7866	2	4.2530	0.0417	-0.9954	-0.0959	0.1771	24
16	0	-0.0175	1.6395	3	4.3852	0.0060	0.9965	-0.0830	0.0748	2
17	0	-0.0420	0.9309	1	4.2291	0.0074	0.3363	0.9417	0.3369	2
18	0	-0.0086	4.3199	3	4.0603	0.0508	-0.1083	-0.9941	0.2983	14
19	0	-0.1515	2.5702	2	4.1602	0.0417	0.9234	0.3838	0.1368	7
20	0	-0.2385	2.0392	2	2.9999	0.0344	-0.2323	0.9727	0.1781	19
21	0	-0.2372	0.6222	2	3.4024	0.0215	-0.9997	-0.0232	100.0000	-1
22	0	-0.2783	0.1682	2	4.4962	0.0555	0.3243	-0.9459	0.0546	13
23	0	-0.3373	3.2817	2	3.0003	0.1975	0.0177	-0.9998	0.1682	28
24	0	-0.4250	4.5159	2	4.3738	0.0182	0.7967	0.6044	0.1771	15
25	0	-0.4564	4.0397	1	4.1431	0.0000	0.0000	0.0000	100.0000	-1
26	0	-0.4861	5.2688	3	5.2353	0.0305	-0.0328	0.9995	0.0488	33
27	0	-0.4262	1.3394	2	3.5435	0.0259	0.4239	-0.9057	0.2008	17
28	0	-0.4184	2.7598	2	4.6116	0.0605	-0.1818	0.9833	0.1682	23
