# framerate: 25
# 0: id
# 1: frame
# 2: x
# 3: y
# 4: plevel (4:strong pushing 3:Mild pushing 2:Just walking 1:Falling behind)
# 5: density (-1: not in the measurement area)
# 6: speed
# 7: x_direction (0: speed is 0)
# 8: y_direction (0: speed is 0)
# 9: space (100: no peds in the direction of movement)
# 10 infid (-1: no peds in the direction of movement)
#id	frame	x	y	plevel	density	speed	x_direction	y_direction	space	infid
1	0	-1.5183	2.0123	2	3.2214	0.0283	-0.9899	0.1414	100.0000	-1
2	0	-1.3260	0.9786	2	2.5768	0.0121	0.9923	-0.1240	0.1789	9
3	0	-1.3313	1.5191	2	2.7620	0.0306	0.4731	-0.8810	0.1805	2
4	0	-1.3663	2.5797	2	3.1073	0.0217	0.9463	0.3231	0.0601	6
5	0	-1.0544	0.5014	3	2.0289	0.0291	-0.4813	0.8766	0.1891	2
6	0	-1.1272	2.9251	2	2.1183	0.0146	-0.9261	0.3773	100.0000	-1
7	0	-1.2585	5.0664	2	1.7995	0.0330	-0.1815	-0.9834	0.0843	11
8	0	-1.1408	3.9089	2	1.3708	0.0658	-0.1595	0.9872	0.4640	11
9	0	-0.8393	1.2099	3	3.5215	0.0179	0.4472	0.8944	0.0628	17
10	0	-0.9085	2.5287	3	3.1659	0.0036	0.9615	0.2747	0.1983	19
11	0	-0.9831	4.7177	2	2.2971	0.2139	0.9700	0.2431	0.1408	18
12	0	-0.5549	0.1407	3	3.2679	0.0429	-0.3267	0.9451	0.2561	5
13	0	-0.6321	1.8774	2	2.8356	0.0111	-0.1351	-0.9908	0.1505	17
14	0	-0.7077	3.4093	4	2.7432	0.0911	0.0494	-0.9988	0.5432	10
15	0	-0.6068	4.0920	3	3.0257	0.0856	-0.0351	0.9994	0.3701	11
16	0	-0.4503	0.8050	3	3.2541	0.1221	0.3113	-0.9503	0.0894	26
17	0	-0.4600	1.3968	2	4.5742	0.0000	0.0000	0.0000	100.0000	-1
18	0	-0.6131	5.0552	2	3.3792	0.3481	-0.1867	0.9824	0.2669	55
19	0	-0.3774	2.3565	2	4.2701	0.0165	-0.5755	0.8178	0.0575	21
20	0	-0.3483	3.6061	1	3.3635	0.0827	0.3505	-0.9366	0.2134	27
21	0	-0.2992	2.7666	3	2.9498	0.0045	0.4472	0.8944	0.2050	27
22	0	-0.2740	4.9582	2	2.3834	0.0214	0.9363	0.3511	0.3444	53
23	0	-0.1563	2.0245	3	4.4926	0.0772	0.4079	-0.9130	0.0700	29
24	0	-0.1654	4.2500	3	2.4454	0.0701	-0.4923	0.8704	0.3565	22
25	0	-0.0937	1.4248	3	3.9522	0.0384	0.9363	0.3511	0.1461	29
26	0	-0.0797	0.5508	3	3.6645	0.0125	-0.0797	-0.9968	100.0000	-1
27	0	0.0596	3.2031	2	3.2302	0.2996	-0.5357	-0.8444	0.2050	21
28	0	0.1690	0.9832	3	3.5738	0.0030	-0.1644	0.9864	0.1538	25
29	0	0.2221	1.8203	3	3.7045	0.0165	-1.0000	0.0000	0.0700	23
30	0	0.3482	3.7528	4	2.8830	0.1552	-0.9953	-0.0966	0.3518	20
31	0	0.3228	2.3390	3	3.5701	0.0385	0.7921	0.6103	0.0599	32
